estado,fim,id,literal,num,se,ab_p,fc_p,entao,rcb,fimse,escreva,leia,pt_v,varfim,inicio,inteiro,lit,real,varinicio,opr,opm,eof
1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,S3,E1,E1,E1,E1,E1,E1,E404
2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,ACC
3,E500,E500,E500,E500,E500,E500,E500,E500,E500,E500,E500,E500,E500,E500,E500,E3,E3,E3,S4,E500,E500,E404
4,E4,S9,E4,E4,E4,E4,E4,E4,E4,E4,E4,E4,E4,S8,E4,E4,E4,E4,E4,E4,E4,E404
5,R30,R30,E500,E500,R30,E500,E500,E500,E500,E500,R30,R30,E500,E500,E500,E500,E500,E500,E500,E500,E500,E404
6,R23,R23,E500,E500,R23,E500,E500,E500,E500,E500,R23,R23,E500,E500,E500,E500,E500,E500,E500,E500,E500,E404
7,E500,S9,E500,E500,E500,E500,E500,E500,E500,E500,E500,E500,E500,S8,E500,E500,E500,E500,E500,E500,E500,E404
8,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,S59,E6,E6,E6,E6,E6,E6,E6,E6,E404
9,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,S12,S13,S11,E5,E5,E5,E404
10,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,S57,E6,E6,E6,E6,E6,E6,E6,E6,E404
11,E500,E500,E500,E500,E500,E500,E500,E500,E500,E500,E500,E500,R29,E500,E500,E3,E3,E3,E500,E500,E500,E404
12,E500,E500,E500,E500,E500,E500,E500,E500,E500,E500,E500,E500,R27,E500,E500,E3,E3,E3,E500,E500,E500,E404
13,E500,E500,E500,E500,E500,E500,E500,E500,E500,E500,E500,E500,R28,E500,E500,E3,E3,E3,E500,E500,E500,E404
14,S16,S40,E500,E500,S26,E500,E500,E500,E500,E500,S34,S23,E500,E500,E500,E3,E3,E3,E500,E500,E500,E404
15,E500,E500,E500,E500,E500,E500,E500,E500,E500,E500,E500,E500,E500,E500,E500,E3,E3,E3,E500,E500,E500,R2
16,E500,E500,E500,E500,E500,E500,E500,E500,E500,E500,E500,E500,E500,E500,E500,E3,E3,E3,E500,E500,E500,R6
17,S16,S40,E500,E500,S26,E500,E500,E500,E500,E500,S34,S23,E500,E500,E500,E3,E3,E3,E500,E500,E500,E404
18,S16,S40,E500,E500,S26,E500,E500,E500,E500,E500,S34,S23,E500,E500,E500,E3,E3,E3,E500,E500,E500,E404
19,S16,S40,E500,E500,S26,E500,E500,E500,E500,E500,S34,S23,E500,E500,E500,E3,E3,E3,E500,E500,E500,E404
20,E500,E500,E500,E500,E500,E500,E500,E500,E500,E500,E500,E500,E500,E500,E500,E3,E3,E3,E500,E500,E500,R3
21,E500,E500,E500,E500,E500,E500,E500,E500,E500,E500,E500,E500,E500,E500,E500,E3,E3,E3,E500,E500,E500,R4
22,E500,E500,E500,E500,E500,E500,E500,E500,E500,E500,E500,E500,E500,E500,E500,E3,E3,E3,E500,E500,E500,R5
23,E500,S24,E500,E500,E500,E500,E500,E500,E500,E500,E500,E500,E500,E500,E500,E3,E3,E3,E500,E500,E500,E404
24,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,S25,E6,E6,E6,E6,E6,E6,E6,E6,E404
25,R19,R19,E500,E500,R19,E500,E500,E500,E500,R19,R19,R19,E500,E500,E500,E3,E3,E3,E500,E500,E500,E404
26,E7,E7,E7,E7,E7,S27,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7,E404
27,E8,S46,E8,S47,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E404
28,E9,E9,E9,E9,E9,E9,S29,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E404
29,E10,E10,E10,E10,E10,E10,E10,S30,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E404
30,E500,R10,E500,E500,R10,E500,E500,E500,E500,R10,R10,R10,E500,E500,E500,E3,E3,E3,E500,E500,E500,E404
31,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,S32,E11,E404
32,E11,S46,E11,S47,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E404
33,E500,E500,E500,E500,E500,E500,R20,E500,E500,E500,E500,E500,E500,E500,E500,E3,E3,E3,E500,E500,E500,E404
34,E12,S37,S39,S38,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,E404
35,R18,R18,E500,E500,R18,E500,E500,E500,E500,R18,R18,R18,E500,E500,E500,E3,E3,E3,E500,E500,E500,E404
36,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,S35,E6,E6,E6,E6,E6,E6,E6,E6,E404
37,E500,E500,E500,E500,E500,E500,E500,E500,E500,E500,E500,E500,R7,E500,E500,E3,E3,E3,E500,E500,E500,E404
38,E500,E500,E500,E500,E500,E500,E500,E500,E500,E500,E500,E500,R9,E500,E500,E3,E3,E3,E500,E500,E500,E404
39,E500,E500,E500,E500,E500,E500,E500,E500,E500,E500,E500,E500,R8,E500,E500,E3,E3,E3,E500,E500,E500,E404
40,E500,E500,E500,E500,E500,E500,E500,E500,S41,E500,E500,E500,E500,E500,E500,E3,E3,E3,E500,E500,E500,E404
41,E13,S46,E13,S47,E13,E13,E13,E13,E13,E13,E13,E13,E13,E13,E13,E3,E3,E3,E13,E13,E13,E404
42,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,S58,E6,E6,E6,E6,E6,E6,E6,E6,E404
43,E14,E14,E14,E14,E14,E14,E14,E14,E14,E14,E14,E14,R21,E14,E14,E14,E14,E14,E14,E14,S44,E404
44,E15,S46,E15,S47,E15,E15,E15,E15,E15,E15,E15,E15,E15,E15,E15,E15,E15,E15,E15,E15,E15,E404
45,E500,E500,E500,E500,E500,E500,E500,E500,E500,E500,E500,E500,R22,E500,E500,E3,E3,E3,E500,E500,E500,E404
46,E500,E500,E500,E500,E500,E500,R25,E500,E500,E500,E500,E500,R25,E500,E500,E3,E3,E3,E500,R25,R25,E404
47,E500,E500,E500,E500,E500,E500,R26,E500,E500,E500,E500,E500,R26,E500,E500,E3,E3,E3,E500,R26,R26,E404
48,E500,S40,E500,E500,S26,E500,E500,E500,E500,S53,S34,S23,E500,E500,E500,E3,E3,E3,E500,E500,E500,E404
49,R12,R12,E500,E500,R12,E500,E500,E500,E500,R12,R12,R12,E500,E500,E500,E3,E3,E3,E500,E500,E500,E404
50,E500,S40,E500,E500,S26,E500,E500,E500,E500,S53,S34,S23,E500,E500,E500,E3,E3,E3,E500,E500,E500,E404
51,E500,S40,E500,E500,S26,E500,E500,E500,E500,S53,S34,S23,E500,E500,E500,E3,E3,E3,E500,E500,E500,E404
52,E500,S40,E500,E500,S26,E500,E500,E500,E500,S53,S34,S23,E500,E500,E500,E3,E3,E3,E500,E500,E500,E404
53,R16,R16,E500,E500,R16,E500,E500,E500,E500,R16,R16,R16,E500,E500,E500,E3,E3,E3,E500,E500,E500,E404
54,R15,R15,E500,E500,R15,E500,E500,E500,E500,R15,R15,R15,E500,E500,E500,E3,E3,E3,E500,E500,E500,E404
55,R14,R14,E500,E500,R14,E500,E500,E500,E500,R14,R14,R14,E500,E500,E500,E3,E3,E3,E500,E500,E500,E404
56,R13,R13,E500,E500,R13,E500,E500,E500,E500,R13,R13,R13,E500,E500,E500,E3,E3,E3,E500,E500,E500,E404
57,E500,R17,E500,E500,E500,E500,E500,E500,E500,E500,E500,E500,E500,R17,E500,E3,E3,E3,E500,E500,E500,E404
58,R11,R11,E500,E500,R11,E500,E500,E500,E500,R11,R11,R11,E500,E500,E500,E3,E3,E3,E500,E500,E500,E404
59,R24,R24,E500,E500,R24,E500,E500,E500,E500,E500,R24,R24,E500,E500,E500,E3,E3,E3,E500,E500,E500,E404
